Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01 00:00:00+05:30,447.64544677734375,452.0134582519531,441.4615478515625,444.9461364746094,433.3164367675781,5154996
2020-01-02 00:00:00+05:30,445.73138427734375,450.9337158203125,445.1424560546875,446.8111267089844,435.1327819824219,4933053
2020-01-03 00:00:00+05:30,447.3019104003906,450.7373962402344,443.1793212890625,446.71295166015625,435.037109375,5154587
2020-01-06 00:00:00+05:30,445.5350646972656,449.0196533203125,436.4555358886719,441.3634033203125,429.827392578125,7538915
2020-01-07 00:00:00+05:30,443.67010498046875,446.9092712402344,434.9341125488281,436.8972473144531,425.47796630859375,4353883
2020-01-08 00:00:00+05:30,434.4433288574219,452.25885009765625,432.23480224609375,450.39385986328125,438.62176513671875,14118818
2020-01-09 00:00:00+05:30,459.7678527832031,466.1971435546875,446.9092712402344,451.6208190917969,439.8166809082031,18180867
2020-01-10 00:00:00+05:30,456.23419189453125,457.3630065917969,445.8295593261719,448.57794189453125,436.85333251953125,37724966
2020-01-13 00:00:00+05:30,450.54107666015625,461.6328430175781,445.8786315917969,460.2586364746094,448.2287292480469,15206224
2020-01-14 00:00:00+05:30,460.2586364746094,463.9395446777344,458.00103759765625,460.7003479003906,448.6589050292969,8238486
2020-01-15 00:00:00+05:30,460.84759521484375,463.301513671875,456.4305114746094,459.2279968261719,447.2250061035156,10875259
2020-01-16 00:00:00+05:30,460.5531005859375,468.1602783203125,459.375244140625,465.16650390625,453.00830078125,16290593
2020-01-17 00:00:00+05:30,466.3443908691406,494.5154724121094,466.3443908691406,490.8345947265625,478.00555419921875,61915666
2020-01-20 00:00:00+05:30,489.8039245605469,503.25146484375,485.1414794921875,499.3251647949219,486.274169921875,45298836
2020-01-21 00:00:00+05:30,500.6012268066406,505.5090637207031,495.1044006347656,502.3189697265625,489.1897277832031,65202963
2020-01-22 00:00:00+05:30,505.263671875,514.0978393554688,497.3620300292969,505.0182800292969,491.8184814453125,20285793
2020-01-23 00:00:00+05:30,505.5090637207031,516.3063354492188,502.90789794921875,513.9996337890625,500.5650939941406,15772863
2020-01-24 00:00:00+05:30,510.90771484375,517.6314697265625,504.67474365234375,514.588623046875,501.1387023925781,23824625
2020-01-27 00:00:00+05:30,511.54571533203125,514.4413452148438,502.4661865234375,504.9201354980469,491.722900390625,11856786
2020-01-28 00:00:00+05:30,504.87103271484375,504.9201354980469,477.14166259765625,482.1967468261719,469.5934753417969,31674769
2020-01-29 00:00:00+05:30,484.0126647949219,492.1596984863281,479.2520446777344,481.2151794433594,468.63751220703125,20037283
2020-01-30 00:00:00+05:30,482.93292236328125,483.81634521484375,471.2522277832031,480.7734680175781,468.2073669433594,15337903
2020-01-31 00:00:00+05:30,484.1108093261719,490.1965637207031,478.02508544921875,487.3009338378906,474.5642395019531,18356252
2020-02-03 00:00:00+05:30,486.9082946777344,503.88946533203125,486.9082946777344,500.6502990722656,487.5646667480469,15212799
2020-02-04 00:00:00+05:30,504.5274963378906,512.968994140625,494.17193603515625,509.3371887207031,496.02447509765625,14646591
2020-02-05 00:00:00+05:30,508.4537658691406,527.5944213867188,506.2943115234375,523.5208740234375,509.8375549316406,30647706
2020-02-06 00:00:00+05:30,525.1895751953125,542.6124267578125,524.257080078125,536.7230224609375,522.6945190429688,17180298
2020-02-07 00:00:00+05:30,538.7843017578125,538.8825073242188,528.33056640625,529.5084838867188,515.6685791015625,8967847
2020-02-10 00:00:00+05:30,530.24462890625,533.631103515625,526.22021484375,528.7722778320312,514.9515380859375,8570467
2020-02-11 00:00:00+05:30,529.5575561523438,534.6126708984375,522.9319458007812,524.453369140625,510.7456359863281,6622800
