symbol,company_name,sector,market_cap,headquarters,exchange
MOTHERSON,Samvardhana Motherson International,Automobile and Auto Components,,India,NSE
MOTILALOFS,Motilal Oswal Financial Services,Financial Services,,India,NSE
MPHASIS,MphasiS,Information Technology,,India,NSE
MRF,MRF,Automobile and Auto Components,,India,NSE
MRPL,Mangalore Refinery & Petrochemicals,Oil Gas & Consumable Fuels,,India,NSE
MSUMI,Motherson Sumi Wiring India,Automobile and Auto Components,,India,NSE
MUTHOOTFIN,Muthoot Finance,Financial Services,,India,NSE
NAM-INDIA,Nippon Life India Asset Management,Financial Services,,India,NSE
NATCOPHARM,NATCO Pharma,Healthcare,,India,NSE
NATIONALUM,National Aluminium Co.,Metals & Mining,,India,NSE
NAUKRI,Info Edge (India),Consumer Services,,India,NSE
NAVA,Nava,Power,,India,NSE
NAVINFLUOR,Navin Fluorine International,Chemicals,,India,NSE
NBCC,NBCC (India),Construction,,India,NSE
NCC,NCC,Construction,,India,NSE
NESTLEIND,Nestle India,Fast Moving Consumer Goods,,India,NSE
NETWEB,Netweb Technologies India,Information Technology,,India,NSE
NEULANDLAB,Neuland Laboratories,Healthcare,,India,NSE
NEWGEN,Newgen Software Technologies,Information Technology,,India,NSE
NH,Narayana Hrudayalaya,Healthcare,,India,NSE
NHPC,NHPC,Power,,India,NSE
NIACL,The New India Assurance Company,Financial Services,,India,NSE
NIVABUPA,Niva Bupa Health Insurance Company,Financial Services,,India,NSE
NLCINDIA,NLC India,Power,,India,NSE
NMDC,NMDC,Metals & Mining,,India,NSE
NSLNISP,NMDC Steel,Metals & Mining,,India,NSE
NTPC,NTPC,Power,,India,NSE
NTPCGREEN,NTPC Green Energy,Power,,India,NSE
NUVAMA,Nuvama Wealth Management,Financial Services,,India,NSE
NUVOCO,Nuvoco Vistas Corporation,Construction Materials,,India,NSE
NYKAA,FSN E-Commerce Ventures,Consumer Services,,India,NSE
OBEROIRLTY,Oberoi Realty,Realty,,India,NSE
