symbol,company_name,sector,market_cap,headquarters,exchange
EICHERMOT,Eicher Motors,Automobile and Auto Components,,India,NSE
EIDPARRY,E.I.D. Parry (India),Fast Moving Consumer Goods,,India,NSE
EIHOTEL,EIH,Consumer Services,,India,NSE
ELECON,Elecon Engineering Co.,Capital Goods,,India,NSE
ELGIEQUIP,Elgi Equipments,Capital Goods,,India,NSE
EMAMILTD,Emami,Fast Moving Consumer Goods,,India,NSE
EMCURE,Emcure Pharmaceuticals,Healthcare,,India,NSE
ENDURANCE,Endurance Technologies,Automobile and Auto Components,,India,NSE
ENGINERSIN,Engineers India,Construction,,India,NSE
ENRIN,Siemens Energy India,Capital Goods,,India,NSE
ERIS,Eris Lifesciences,Healthcare,,India,NSE
ESCORTS,Escorts Kubota,Capital Goods,,India,NSE
ETERNAL,Eternal,Consumer Services,,India,NSE
EXIDEIND,Exide Industries,Automobile and Auto Components,,India,NSE
FACT,Fertilisers and Chemicals Travancore,Chemicals,,India,NSE
FEDERALBNK,Federal Bank,Financial Services,,India,NSE
FINCABLES,Finolex Cables,Capital Goods,,India,NSE
FINPIPE,Finolex Industries,Capital Goods,,India,NSE
FIRSTCRY,Brainbees Solutions,Consumer Services,,India,NSE
FIVESTAR,Five-Star Business Finance,Financial Services,,India,NSE
FLUOROCHEM,Gujarat Fluorochemicals,Chemicals,,India,NSE
FORCEMOT,Force Motors,Automobile and Auto Components,,India,NSE
FORTIS,Fortis Healthcare,Healthcare,,India,NSE
FSL,Firstsource Solutions,Services,,India,NSE
GAIL,GAIL (India),Oil Gas & Consumable Fuels,,India,NSE
GESHIP,Great Eastern Shipping Co.,Services,,India,NSE
GICRE,General Insurance Corporation of India,Financial Services,,India,NSE
GILLETTE,Gillette India,Fast Moving Consumer Goods,,India,NSE
GLAND,Gland Pharma,Healthcare,,India,NSE
GLAXO,Glaxosmithkline Pharmaceuticals,Healthcare,,India,NSE
GLENMARK,Glenmark Pharmaceuticals,Healthcare,,India,NSE
GMDCLTD,Gujarat Mineral Development Corporation,Metals & Mining,,India,NSE
GMRAIRPORT,GMR Airports,Services,,India,NSE
GODFRYPHLP,Godfrey Phillips India,Fast Moving Consumer Goods,,India,NSE
GODIGIT,Go Digit General Insurance,Financial Services,,India,NSE
GODREJAGRO,Godrej Agrovet,Fast Moving Consumer Goods,,India,NSE
GODREJCP,Godrej Consumer Products,Fast Moving Consumer Goods,,India,NSE
GODREJIND,Godrej Industries,Diversified,,India,NSE
GODREJPROP,Godrej Properties,Realty,,India,NSE
GPIL,Godawari Power & Ispat,Capital Goods,,India,NSE
GRANULES,Granules India,Healthcare,,India,NSE
GRAPHITE,Graphite India,Capital Goods,,India,NSE
GRASIM,Grasim Industries,Construction Materials,,India,NSE
GRAVITA,Gravita India,Metals & Mining,,India,NSE
GRSE,Garden Reach Shipbuilders & Engineers,Capital Goods,,India,NSE
GSPL,Gujarat State Petronet,Oil Gas & Consumable Fuels,,India,NSE
GUJGASLTD,Gujarat Gas,Oil Gas & Consumable Fuels,,India,NSE
GVT&D,GE Vernova T&D India,Capital Goods,,India,NSE
HAL,Hindustan Aeronautics,Capital Goods,,India,NSE
HAPPSTMNDS,Happiest Minds Technologies,Information Technology,,India,NSE
HAVELLS,Havells India,Consumer Durables,,India,NSE
HBLENGINE,HBL Engineering,Capital Goods,,India,NSE
HCLTECH,HCL Technologies,Information Technology,,India,NSE
HDFCAMC,HDFC Asset Management Company,Financial Services,,India,NSE
HDFCBANK,HDFC Bank,Financial Services,,India,NSE
HDFCLIFE,HDFC Life Insurance Company,Financial Services,,India,NSE
HEG,H.E.G.,Capital Goods,,India,NSE
HEROMOTOCO,Hero MotoCorp,Automobile and Auto Components,,India,NSE
HEXT,Hexaware Technologies,Information Technology,,India,NSE
HFCL,HFCL,Telecommunication,,India,NSE
HINDALCO,Hindalco Industries,Metals & Mining,,India,NSE
HINDCOPPER,Hindustan Copper,Metals & Mining,,India,NSE
HINDPETRO,Hindustan Petroleum Corporation,Oil Gas & Consumable Fuels,,India,NSE
HINDUNILVR,Hindustan Unilever,Fast Moving Consumer Goods,,India,NSE
HINDZINC,Hindustan Zinc,Metals & Mining,,India,NSE
HOMEFIRST,Home First Finance Company India,Financial Services,,India,NSE
HONASA,Honasa Consumer,Fast Moving Consumer Goods,,India,NSE
HONAUT,Honeywell Automation India,Capital Goods,,India,NSE
HSCL,Himadri Speciality Chemical,Chemicals,,India,NSE
HUDCO,Housing & Urban Development Corporation,Financial Services,,India,NSE
HYUNDAI,Hyundai Motor India,Automobile and Auto Components,,India,NSE
ICICIBANK,ICICI Bank,Financial Services,,India,NSE
